,Name,URL,Category,Attributes,Size,Volume,Loop count,Wedge count,Claw count,Cross count,Triangle count,Square count,4-Tour count,Maximum degree,Average degree,Fill,Size of LCC,Diameter,50-Percentile effective diameter,90-Percentile effective diameter,Median distance,Mean distance,Gini coefficient,Balanced inequality ratio,Relative edge distribution entropy,Power law exponent,Tail power law exponent,Tail power law exponent with p,p-value,Degree assortativity,Degree assortativity p-value,Clustering coefficient,Spectral norm,Algebraic connectivity,Spectral separation,Non-bipartivity,Normalized non-bipartivity,Algebraic non-bipartivity,Spectral bipartite frustration,Controllability,Relative controllability,Left size,Right size,Maximum left degree,Maximum right degree,Average left degree,Average right degree,Left balanced inequality ratio,Right balanced inequality ratio,Left tail power law exponent with p,Left p-value,Right tail power law exponent with p,Right p-value,Maximum outdegree,Maximum indegree,Size of LSCC,Relative size of LSCC,Outdegree balanced inequality ratio,Indegree balanced inequality ratio,In/outdegree correlation,Directed clustering coefficient,Operator 2-norm,Cyclic eigenvalue,Reciprocity,Negativity,Algebraic conflict,Triadic conflict,Spectral signed frustration,Outdegree tail power law exponent with p,Outdegree p-value,Indegree tail power law exponent with p,Indegree p-value,Unique edge count,Average edge multiplicity
bnah,Wikibooks edits (nah),edit-nahwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",97,122,,331,1078,2983,,93.0,2304.0,30,2.51546,0.0509209,26,7.0,3.10213,4.85,4.0,3.41216,0.478806,0.32377,0.919908,3.4708,2.931,2.931,0.023,0.195165,0.0594232,,8.46221,0.102239,1.17092,,,,,44.0,0.458333,26.0,71.0,30.0,11.0,4.69231,1.71831,0.286885,0.368852,2.191,0.799,6.191,0.227,,,,,,,,,,,,,,,,,,,,94.0,1.29787
MB,Bison,moreno_bison/,Animal network,"['Unipartite', 'directed', 'Positive weights', 'no multiple edges']",26,314,0.0,3872,73357,498232,1018.0,12388.0,115036.0,39,24.1538,0.483077,26,2.0,0.739785,1.70281,1.0,1.30135,0.19194,0.406051,0.97911,2.00765,8.991,8.991,0.409,-0.104224,0.0280969,0.78874,88.4386,11.2088,2.73685,0.790714,0.738205,5.50878,0.0806465,0.0,0.0,,,,,,,,,,,,,18.0,22.0,26.0,1.0,0.417197,0.394904,0.390729,0.658149,51.6578,35.3506,0.585987,,,,,8.551,0.085,8.911,0.372,,
bgot,Wikibooks edits (got),edit-gotwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",90,127,,467,2069,7407,,109.0,2990.0,33,2.82222,0.0584615,37,7.0,2.27371,4.60621,3.0,3.05363,0.517505,0.314961,0.900063,3.29273,2.181,2.181,0.0,0.301586,0.00297735,,8.85511,0.0261862,1.24179,,,,,42.0,0.466667,25.0,65.0,33.0,5.0,5.08,1.95385,0.212598,0.377953,1.821,0.212,6.121,0.526,,,,,,,,,,,,,,,,,,,,95.0,1.33684
mcr,Wiktionary edits (cr),edit-crwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",106,124,,454,2231,9131,,109.0,2908.0,33,2.33962,0.041511,30,5.0,1.61017,3.00833,2.0,2.21768,0.447194,0.346774,0.911269,3.72731,3.281,3.281,0.002,0.487739,2.6482999999999997e-07,,8.8736,0.384039,2.46109,,,,,44.0,0.415094,33.0,73.0,33.0,4.0,3.75758,1.69863,0.258065,0.379032,2.321,0.497,6.801,0.639,,,,,,,,,,,,,,,,,,,,100.0,1.24
qals,Wikiquote edits (als),edit-alswikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",111,124,,321,1136,3281,,46.0,1848.0,33,2.23423,0.0345865,25,5.0,1.82753,3.50992,2.0,2.474,0.475913,0.326613,0.916202,4.9996,2.621,2.621,0.046,0.162428,0.121877,,10.7833,0.396649,1.49815,,,,,43.0,0.387387,35.0,76.0,33.0,8.0,3.54286,1.63158,0.25,0.379032,2.091,0.588,3.181,0.032,,,,,,,,,,,,,,,,,,,,92.0,1.34783
qtt,Wikiquote edits (tt),edit-ttwikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",93,130,,438,1674,5627,,105.0,2850.0,32,2.7957,0.0605882,46,12.0,3.68908,7.24837,4.0,4.44506,0.514253,0.303846,0.915915,2.97117,2.821,2.821,0.567,0.0725829,0.466242,,8.60304,0.0529477,1.3944,,,,,43.0,0.462366,25.0,68.0,32.0,7.0,5.2,1.91176,0.269231,0.353846,2.631,0.331,4.741,0.685,,,,,,,,,,,,,,,,,,,,103.0,1.26214
bqu,Wikibooks edits (qu),edit-quwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",100,134,,479,2947,15512,,39.0,2522.0,53,2.68,0.0506667,34,6.0,1.80425,3.40893,2.0,2.46992,0.555124,0.291045,0.89799,3.95078,2.371,2.371,0.021,-0.0628651,0.545032,,13.3778,0.252485,1.95942,,,,,50.0,0.5,25.0,75.0,53.0,10.0,5.36,1.78667,0.238806,0.350746,1.791,0.063,7.691,0.854,,,,,,,,,,,,,,,,,,,,95.0,1.41053
AN,David Copperfield,adjnoun_adjacency/,Lexical network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",112,425,0.0,5429,39977,318768,284.0,2579.0,43198.0,49,7.58929,0.0683719,112,5.0,1.93124,2.9806,2.0,2.47239,0.417311,0.345882,0.934657,1.58957,3.621,3.621,0.214,-0.129348,0.000155916,0.156935,13.1502,0.69502,1.72702,0.420969,0.276497,0.675374,0.0222476,6.0,0.0535714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MW,Windsurfers,moreno_beach/,Human contact network,"['Unipartite', 'undirected', 'Positive weights', 'no multiple edges']",43,336,0.0,5831,36530,180422,1096.0,12034.0,120268.0,31,15.6279,0.372093,43,3.0,1.26555,1.92656,2.0,1.69651,0.237403,0.409226,0.976716,2.1579,5.021,5.021,0.286,-0.146965,0.000131592,0.563883,125.53,6.69793,2.21941,0.724591,0.678918,5.58632,0.0893645,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qvo,Wikiquote edits (vo),edit-vowikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",100,139,,550,2808,12283,,143.0,3568.0,37,2.78,0.0504762,40,9.0,2.19083,5.65628,3.0,3.28262,0.486536,0.327338,0.906524,3.18264,3.121,3.121,0.016,0.244695,0.0114723,,9.41697,0.0645932,1.16803,,,,,42.0,0.42,30.0,70.0,37.0,8.0,4.63333,1.98571,0.266187,0.366906,2.251,0.289,5.081,0.683,,,,,,,,,,,,,,,,,,,,106.0,1.31132
PB,Political blogs,dimacs10-polblogs/,Hyperlink network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",1224,33430,0.0,1341525,507772316,50828983297,101043.0,5171257.0,46769586.0,702,54.6242,0.022332,1222,8.0,2.24693,3.315,3.0,2.74667,0.62254,0.264134,0.902489,1.41495,2.381,2.381,0.0,-0.221233,0.0,0.225959,148.164,0.337383,1.23592,0.6036,0.207586,0.29905,0.00273303,164.0,0.133987,,,,,,,,,,,,,351.0,351.0,1222.0,0.998366,0.264134,0.264134,1.0,0.225959,74.082,74.082,1.0,,,,,2.381,0.0,2.381,0.0,,
bse,Wikibooks edits (se),edit-sewikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",110,141,,581,2889,12389,,192.0,4130.0,42,2.56364,0.048957,30,6.0,2.93127,4.49762,3.0,3.32414,0.473514,0.333333,0.9057,3.32382,2.891,2.891,0.021,-0.0291676,0.756989,,10.08,0.0985221,2.31029,,,,,54.0,0.490909,29.0,81.0,42.0,10.0,4.86207,1.74074,0.255319,0.368794,2.411,0.669,5.931,0.072,,,,,,,,,,,,,,,,,,,,115.0,1.22609
bbo,Wikibooks edits (bo),edit-bowikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",105,142,,615,3636,17798,,193.0,4220.0,43,2.70476,0.0491651,39,8.0,1.86733,5.18389,2.0,2.92427,0.497313,0.320423,0.898418,3.45397,3.081,3.081,0.065,0.530682,4.8747400000000005e-09,,10.1535,0.124022,1.56672,,,,,50.0,0.480769,28.0,77.0,43.0,5.0,5.07143,1.84416,0.246479,0.366197,2.161,0.719,6.121,0.505,,,,,,,,,,,,,,,,,,,,106.0,1.33962
MX,Seventh graders,moreno_seventh/,Human social network,"['Unipartite', 'directed', 'Positive weights', 'no multiple edges']",29,376,0.0,4476,99611,729055,1095.0,13524.0,126596.0,43,25.931,0.463054,29,2.0,0.826364,1.75077,1.0,1.37125,0.180026,0.428191,0.982628,2.18841,7.811,7.811,0.818,-0.157512,0.000407219,0.733914,59.6258,11.9381,2.27436,0.736441,0.702142,6.27156,0.0909376,0.0,0.0,,,,,,,,,,,,,27.0,20.0,29.0,1.0,0.37766,0.401596,0.406183,0.652579,31.8755,26.7594,0.670213,,,,,5.121,0.638,8.991,0.419,,
mxh,Wiktionary edits (xh),edit-xhwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",141,147,,447,1692,5659,,121.0,2994.0,34,2.08511,0.0298927,28,8.0,2.77755,5.01912,3.0,3.38444,0.463616,0.329932,0.921476,3.7428,2.311,2.311,0.0,-0.0186691,0.841647,,9.045,0.076655,1.92632,,,,,55.0,0.44,38.0,103.0,34.0,8.0,3.86842,1.42718,0.272109,0.367347,2.361,0.725,5.631,0.032,,,,,,,,,,,,,,,,,,,,117.0,1.25641
bug,Wikipedia edits (bug),edit-bugwiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",19261,184412,,395448362,1211587949425,3240312031028652,,711164526.0,7271382544.0,43459,19.1487,0.00905765,18524,15.0,1.73011,3.74645,2.0,2.67958,0.684155,0.262014,0.733442,1.62027,1.511,,,-0.132132,0.0,,529.071,0.00420922,2.08988,,,,,17754.0,0.927586,746.0,18515.0,43459.0,304.0,247.201,9.96014,0.0462931,0.367059,,,,,,,,,,,,,,,,,,,,,,,,125106.0,1.47405
f6,Ligue 1 (2016/2017),league-fr1-2016/,Interaction network,"['Unipartite', 'directed', 'Signed', 'possibly weighted', 'multiple edges']",20,380,0.0,3420,71867,476146,1140.0,11380.0,103522.0,38,38.0,0.75,20,1.0,0.473333,0.894667,1.0,0.949367,0.0621053,0.452632,0.997997,20.7356,8.991,8.991,0.01,-0.0829081,0.117371,1.0,22.9912,34.4326,1.19173,0.797627,0.846165,14.5449,0.203142,0.0,0.0,,,,,,,,,,,,,19.0,19.0,20.0,1.0,0.435088,0.435088,-0.103518,0.764982,21.4518,4.48224,0.74386,0.347368,16.692,0.470016,0.366052,8.991,0.293,8.721,0.881,285.0,1.33333
u3,Premier League (2013/2014),league-uk1-2013/,Interaction network,"['Unipartite', 'directed', 'Signed', 'possibly weighted', 'multiple edges']",20,380,0.0,3420,84608,587190,1140.0,12029.0,109026.0,38,38.0,0.794737,20,1.0,0.473333,0.894667,1.0,0.949367,0.0432119,0.470199,0.998852,6.38336,8.991,8.991,0.0,-0.095939,0.0682641,1.0,19.4268,36.7508,1.08524,0.795621,0.818136,13.167,0.181865,0.0,0.0,,,,,,,,,,,,,19.0,19.0,20.0,1.0,0.456954,0.466887,0.251548,0.791359,21.7445,2.50721,0.801325,0.407285,19.9543,0.511146,0.493919,6.021,0.0,8.991,0.178,302.0,1.25828
MH,Highschool,moreno_highschool/,Human social network,"['Unipartite', 'directed', 'Positive weights', 'no multiple edges']",70,366,0.0,2278,16957,54264,307.0,1277.0,19876.0,23,10.4571,0.0757764,70,6.0,2.22535,3.51002,3.0,2.66411,0.24235,0.400273,0.977083,1.79391,4.381,4.381,0.048,0.0829577,0.0522701,0.404302,20.6981,1.06734,1.23315,0.60591,0.451279,1.46637,0.0468276,4.0,0.0571429,,,,,,,,,,,,,12.0,18.0,67.0,0.957143,0.420765,0.363388,0.360804,0.403252,10.9772,9.58462,0.502732,,,,,5.701,0.233,4.681,0.194,,
bmi,Wikibooks edits (mi),edit-miwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",94,155,,801,5449,30482,,234.0,5316.0,49,3.29787,0.0716216,54,8.0,3.01857,5.75178,4.0,3.65948,0.560407,0.3,0.875478,3.15841,2.141,2.141,0.0,0.382157,5.2896200000000004e-05,,14.9693,0.0471748,1.39762,,,,,54.0,0.586957,20.0,74.0,49.0,14.0,7.75,2.09459,0.212903,0.367742,1.681,0.643,6.401,0.49,,,,,,,,,,,,,,,,,,,,106.0,1.46226
qga,Wikiquote edits (ga),edit-gawikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",112,157,,860,5576,30726,,258.0,5766.0,49,2.80357,0.051101,73,10.0,3.76089,6.24251,4.0,4.30777,0.509631,0.318471,0.885769,3.19944,2.151,2.151,0.35,-0.0223485,0.80618,,10.7476,0.0483292,1.92399,,,,,55.0,0.504587,29.0,83.0,49.0,9.0,5.41379,1.89157,0.235669,0.356688,1.791,0.384,4.651,0.251,,,,,,,,,,,,,,,,,,,,123.0,1.27642
mrm,Wiktionary edits (rm),edit-rmwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",142,156,,2817,65184,1151139,,24.0,12028.0,74,2.19718,0.0565574,74,2.0,1.47974,1.89595,2.0,1.94818,0.543296,0.282051,0.808936,5.7539,2.771,2.771,0.157,-0.477479,3.1903100000000003e-09,,8.60233,,1.33217,,,,,102.0,0.71831,20.0,122.0,74.0,6.0,7.8,1.27869,0.205128,0.435897,1.691,0.304,3.711,0.425,,,,,,,,,,,,,,,,,,,,138.0,1.13043
bak,Wikibooks edits (ak),edit-akwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",121,164,,1033,11296,102624,,50.0,4944.0,73,2.71074,0.0449775,68,8.0,2.72205,4.76377,3.0,3.26966,0.568995,0.292683,0.870422,4.1277,2.421,2.421,0.049,-0.218783,0.0163628,,14.3304,0.0414311,1.97751,,,,,63.0,0.520661,29.0,92.0,73.0,6.0,5.65517,1.78261,0.20122,0.353659,1.831,0.028,2.901,0.076,,,,,,,,,,,,,,,,,,,,120.0,1.36667
maa,Wiktionary edits (aa),edit-aawiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",139,171,,693,3579,15663,,158.0,4340.0,39,2.46043,0.034359,32,5.0,1.64,2.8303,2.0,2.21562,0.482924,0.321637,0.903185,3.90866,2.361,2.361,0.018,0.224372,0.00915305,,9.68644,0.39114,1.37496,,,,,63.0,0.453237,39.0,100.0,39.0,8.0,4.38462,1.71,0.25731,0.368421,1.901,0.5,5.051,0.341,,,,,,,,,,,,,,,,,,,,134.0,1.27612
Mh,Hens,moreno_hens/,Animal network,"['Unipartite', 'directed', 'Unweighted', 'no multiple edges']",32,496,0.0,14880,143840,1006880,4960.0,107880.0,923552.0,31,31.0,0.5,32,1.0,0.486038,0.897208,1.0,0.972835,0.0,0.46875,1.0,inf,,,,,,1.0,31.0,32.0,31.0,0.967742,0.967742,30.0,0.241935,1.0,0.03125,,,,,,,,,,,,,31.0,29.0,31.0,0.96875,0.356855,0.362903,-0.807129,0.914449,19.6018,7.21263,0.0,,,,,,,,,,
bgu,Wikibooks edits (gu),edit-guwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",115,182,,1323,13872,112520,,475.0,9586.0,65,3.16522,0.0549318,64,11.0,3.00479,7.71859,4.0,4.16693,0.519934,0.315934,0.873226,2.97428,3.201,3.201,0.005,0.168393,0.049183,,12.6019,0.0294068,2.26885,,,,,59.0,0.513043,29.0,86.0,65.0,10.0,6.27586,2.11628,0.247253,0.368132,2.131,0.633,5.301,0.774,,,,,,,,,,,,,,,,,,,,137.0,1.32847
mbm,Wiktionary edits (bm),edit-bmwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",119,179,,913,6226,36038,,258.0,6008.0,50,3.0084,0.0472163,81,10.0,4.02096,6.00407,5.0,4.38824,0.519878,0.307263,0.894962,3.07749,2.391,2.391,0.461,-0.172605,0.0461163,,11.1036,0.0466789,1.4695,,,,,55.0,0.462185,33.0,86.0,50.0,17.0,5.42424,2.0814,0.268156,0.363128,2.431,0.391,5.581,0.016,,,,,,,,,,,,,,,,,,,,134.0,1.33582
bwa,Wikibooks edits (wa),edit-wawikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",171,187,,1244,16533,178952,,4.0,5282.0,55,2.18713,0.0252861,55,5.0,1.61599,2.66813,2.0,2.19619,0.573022,0.278075,0.884092,6.08438,2.831,2.831,0.586,-0.155023,0.0704785,,42.2019,0.137589,6.14856,,,,,83.0,0.497006,42.0,129.0,55.0,42.0,4.45238,1.44961,0.235294,0.395722,2.281,0.927,3.991,0.266,,,,,,,,,,,,,,,,,,,,137.0,1.36496
bln,Wikibooks edits (ln),edit-lnwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",114,195,,866,5819,32874,,288.0,6106.0,51,3.42105,0.0563811,73,14.0,5.02629,9.06389,6.0,5.46854,0.574419,0.284615,0.893242,3.01267,2.311,2.311,0.444,0.338628,8.663940000000001e-05,,13.773,0.0185175,1.24247,,,,,62.0,0.553571,26.0,88.0,51.0,7.0,7.5,2.21591,0.210256,0.364103,1.951,0.59,6.281,0.399,,,,,,,,,,,,,,,,,,,,129.0,1.51163
byo,Wikibooks edits (yo),edit-yowikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",147,193,,743,3974,18823,,94.0,4026.0,40,2.62585,0.0347848,53,8.0,3.07338,5.02353,4.0,3.45138,0.568959,0.287565,0.89997,4.13624,2.421,2.421,0.007,-0.110129,0.196838,,30.1662,0.0811297,3.5448,,,,,76.0,0.520548,36.0,111.0,40.0,30.0,5.36111,1.73874,0.243523,0.362694,2.021,0.489,3.011,0.0,,,,,,,,,,,,,,,,,,,,139.0,1.38849
AF,US airports,opsahl-usairport/,Infrastructure network,"['Unipartite', 'directed', 'Positive weights', 'no multiple edges']",1574,28236,0.0,1914691,612363375,60144933383,245172.0,19604634.0,164530266.0,596,35.878,0.0114043,1572,8.0,2.59205,3.85467,3.0,3.13685,0.7534,0.197762,0.841657,1.54688,1.851,1.851,0.0,-0.113295,9.93038e-99,0.384143,2.383 76 × 107,0.547408,2.70167,0.723066,0.160504,0.246652,,597.0,0.379288,,,,,,,,,,,,,302.0,294.0,1402.0,0.890724,0.200418,0.204349,0.966816,0.363179,1.191 89 × 107,1.191 87 × 107,0.780635,,,,,1.851,0.0,1.861,0.0,,
qkk,Wikiquote edits (kk),edit-kkwikiquote/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",176,200,,1207,15543,163831,,3.0,5168.0,53,2.27273,0.0254539,50,4.0,1.52216,1.99271,2.0,2.09381,0.592598,0.27,0.881597,6.01972,2.821,2.821,0.191,-0.240697,0.0047621,,38.3014,,4.48516,,,,,85.0,0.521472,39.0,137.0,53.0,38.0,5.12821,1.45985,0.225,0.38,2.221,0.548,4.161,0.715,,,,,,,,,,,,,,,,,,,,136.0,1.47059
mbo,Wiktionary edits (bo),edit-bowiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",195,204,,3743,76774,1263329,,31.0,15762.0,74,2.09231,0.0416667,75,2.0,1.47983,1.89597,2.0,1.94836,0.538545,0.289216,0.814999,6.25544,2.861,2.861,0.012,-0.400092,1.1708400000000001e-08,,8.60233,,1.32365,,,,,145.0,0.74359,27.0,168.0,74.0,9.0,7.55556,1.21429,0.186275,0.45098,1.711,0.423,3.901,0.349,,,,,,,,,,,,,,,,,,,,189.0,1.07937
bxh,Wikibooks edits (xh),edit-xhwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",167,202,,1281,16607,179037,,18.0,5564.0,55,2.41916,0.0295218,49,3.0,1.47888,1.91251,2.0,1.94213,0.587996,0.269802,0.882451,5.53563,2.731,2.731,0.182,-0.279293,0.000762725,,42.2019,,6.15436,,,,,92.0,0.554217,37.0,130.0,55.0,42.0,5.45946,1.55385,0.242574,0.386139,2.171,0.799,3.891,0.042,,,,,,,,,,,,,,,,,,,,142.0,1.42254
blb,Wikibooks edits (lb),edit-lbwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",175,208,,1379,18834,212593,,7.0,5910.0,56,2.37714,0.0262509,82,10.0,2.87903,6.37005,3.0,3.92439,0.586502,0.271635,0.883579,5.27037,2.681,2.681,0.553,-0.212151,0.00939159,,43.1972,0.0178551,5.98102,,,,,86.0,0.5,43.0,132.0,56.0,43.0,4.83721,1.57576,0.245192,0.379808,2.381,0.909,3.721,0.107,,,,,,,,,,,,,,,,,,,,149.0,1.39597
mus,Wikipedia edits (mus),edit-muswiki/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",163,221,,1120,9523,67217,,302.0,7244.0,53,2.71166,0.0275689,73,12.0,3.23426,7.91792,4.0,4.65609,0.525367,0.312217,0.894483,3.69756,2.301,2.301,0.0,0.0208075,0.797845,,11.582,0.0141515,1.46603,,,,,59.0,0.380645,49.0,114.0,53.0,12.0,4.5102,1.9386,0.244344,0.352941,2.011,0.301,5.731,0.094,,,,,,,,,,,,,,,,,,,,154.0,1.43506
SI,Similarities (DBpedia),dbpedia-similar/,Miscellaneous network,"['Unipartite', 'undirected', 'Unweighted', 'no multiple edges']",430,565,1.0,2993,9966,27882,708.0,5819.0,59652.0,16,2.62791,0.00609723,107,14.0,3.75262,6.87416,4.0,4.50176,0.467541,0.318584,0.927887,2.67466,2.301,2.301,0.035,0.733007,1.1876e-190,0.709656,15.0,0.0216838,2.24437,0.676315,0.06779,0.130995,0.0104914,80.0,0.186047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bza,Wikibooks edits (za),edit-zawikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",190,233,,1230,14665,149753,,17.0,5538.0,55,2.45263,0.0247946,46,2.0,1.46755,1.89351,2.0,1.91931,0.589373,0.266094,0.899268,4.61707,2.541,2.541,0.869,-0.321601,2.01152e-05,,42.2019,,6.29109,,,,,97.0,0.513228,48.0,142.0,55.0,42.0,4.85417,1.64085,0.240343,0.373391,2.191,0.221,3.301,0.245,,,,,,,,,,,,,,,,,,,,169.0,1.3787
msc,Wiktionary edits (sc),edit-scwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",123,240,,817,4414,18799,,134.0,4764.0,59,3.90244,0.0491563,84,11.0,3.80118,6.9,4.0,4.54322,0.628059,0.254167,0.888623,3.30051,2.181,2.181,0.0,-0.0852096,0.327623,,23.708,0.0671129,1.59677,,,,,66.0,0.55,29.0,94.0,59.0,18.0,8.27586,2.55319,0.1875,0.316667,1.751,0.474,5.071,0.095,,,,,,,,,,,,,,,,,,,,134.0,1.79104
mbi,Wiktionary edits (bi),edit-biwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",244,245,,5792,141193,2577475,,29.0,24162.0,78,2.0082,0.0364074,78,2.0,1.48126,1.89625,2.0,1.95209,0.524101,0.302041,0.801954,7.74924,3.101,3.101,0.003,-0.461556,2.23549e-13,,8.83176,,1.02667,,,,,188.0,0.770492,29.0,215.0,78.0,5.0,8.44828,1.13953,0.183673,0.461224,1.911,0.57,4.581,0.1,,,,,,,,,,,,,,,,,,,,227.0,1.0793
mto,Wiktionary edits (to),edit-towiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",248,248,,5785,141114,2577278,,12.0,24008.0,78,2.0,0.0335648,78,2.0,1.48126,1.89625,2.0,1.95209,0.526471,0.300403,0.807563,7.16511,3.011,3.011,0.007,-0.351277,3.84545e-08,,8.83176,,1.02667,,,,,184.0,0.741935,32.0,216.0,78.0,11.0,7.75,1.14815,0.21371,0.459677,2.101,0.677,4.511,0.408,,,,,,,,,,,,,,,,,,,,232.0,1.06897
myo,Wiktionary edits (yo),edit-yowiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",237,254,,5899,141604,2578608,,47.0,24746.0,78,2.14346,0.0410935,78,2.0,1.48126,1.89625,2.0,1.95209,0.542651,0.28937,0.800212,6.6642,2.931,2.931,0.004,-0.508147,1.0610099999999999e-16,,8.83176,,1.02667,,,,,187.0,0.78903,27.0,210.0,78.0,6.0,9.40741,1.20952,0.19685,0.448819,1.671,0.926,3.911,0.139,,,,,,,,,,,,,,,,,,,,233.0,1.09013
bps,Wikibooks edits (ps),edit-pswikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",174,257,,1070,8122,52824,,46.0,4980.0,56,2.95402,0.0316547,42,6.0,1.62235,3.19745,2.0,2.28143,0.62075,0.2607,0.887255,4.71903,2.561,2.561,0.123,-0.149038,0.065073,,42.2374,0.14901,2.58117,,,,,97.0,0.580838,35.0,139.0,56.0,42.0,7.34286,1.84892,0.214008,0.338521,2.011,0.474,3.401,0.006,,,,,,,,,,,,,,,,,,,,154.0,1.66883
mtw,Wiktionary edits (tw),edit-twwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",260,273,,5853,141266,2577510,,25.0,24414.0,78,2.1,0.0313651,78,2.0,1.48126,1.89625,2.0,1.95209,0.537843,0.289377,0.81572,6.55155,2.911,2.911,0.021,-0.395307,1.1509400000000001e-10,,8.83176,,1.02667,,,,,192.0,0.738462,35.0,225.0,78.0,10.0,7.8,1.21333,0.201465,0.446886,1.941,0.395,4.061,0.056,,,,,,,,,,,,,,,,,,,,247.0,1.10526
mdz,Wiktionary edits (dz),edit-dzwiktionary/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",260,274,,6167,143435,2586440,,81.0,26132.0,78,2.10769,0.0357797,78,2.0,1.48126,1.89625,2.0,1.95209,0.542355,0.291971,0.804836,6.73358,2.951,2.951,0.016,-0.520254,5.1162e-19,,8.83176,,1.02667,,,,,203.0,0.783784,31.0,229.0,78.0,6.0,8.83871,1.19651,0.167883,0.448905,1.731,0.525,3.821,0.056,,,,,,,,,,,,,,,,,,,,254.0,1.07874
bkn,Wikibooks edits (kn),edit-knwikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",204,278,,1692,18447,176632,,191.0,8740.0,57,2.72549,0.0257487,50,4.0,1.52216,1.99271,2.0,2.09381,0.595473,0.278777,0.880767,4.72511,2.561,2.561,0.031,-0.195409,0.00689542,,43.2319,,4.28888,,,,,112.0,0.54902,47.0,157.0,57.0,43.0,5.91489,1.7707,0.219424,0.359712,1.851,0.015,3.221,0.007,,,,,,,,,,,,,,,,,,,,190.0,1.46316
bnds,Wikibooks edits (nds),edit-ndswikibooks/,Authorship network,"['Bipartite', 'undirected', 'Unweighted', 'multiple edges']",244,286,,3187,71037,1284242,,26.0,13432.0,79,2.34426,0.0216346,94,7.0,1.6347,3.49472,2.0,2.38721,0.576267,0.276224,0.868702,5.50183,2.721,2.721,0.019,-0.234974,0.00049723,,42.2019,0.107024,4.57377,,,,,140.0,0.57377,52.0,192.0,79.0,42.0,5.5,1.48958,0.216783,0.398601,1.851,0.012,8.111,0.842,,,,,,,,,,,,,,,,,,,,216.0,1.32407
